Gene Name	Accession-1	Left-End-Position	Right-End-Position	Accession-2	Product	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
xylH	b3568	3733720	3734901	ECK3557	xylose ABC transporter membrane subunit	xylH // b3568 // ECK3557	EG12276					D-xylose transmembrane transport // transmembrane transport // D-xylose metabolic process // D-ribose transmembrane transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // ATP-binding cassette (ABC) transporter complex // plasma membrane	transmembrane transporter activity	xylFGHR
gltF	b3214	3361176	3361940	ECK3204	periplasmic protein GltF	gltF // ossB // b3214 // ECK3204	EG11514						plasma membrane // outer membrane-bounded periplasmic space		gltBDF // gltF // gltBDF
lpoA	b3147	3293400	3295436	ECK3135	outer membrane lipoprotein - activator of MrcA activity	lpoA // yraM // b3147 // ECK3135	G7642					regulation of cell shape // peptidoglycan biosynthetic process	periplasmic space // periplasmic side of cell outer membrane // cell outer membrane	hydrolase activity, hydrolyzing O-glycosyl compounds // enzyme regulator activity // enzyme binding // protein binding	yraM
pabC	b1096	1153300	1154109	ECK1082	aminodeoxychorismate lyase	pabC // b1096 // ECK1082	EG11493					carboxylic acid biosynthetic process // tetrahydrofolate biosynthetic process // folic acid biosynthetic process // para-aminobenzoic acid biosynthetic process	cytosol	lyase activity // protein homodimerization activity // pyridoxal phosphate binding // 4-amino-4-deoxychorismate lyase activity	pabC-mltG-tmk-holB-ycfH
mliC	b1639	1718066	1718395	ECK1635	inhibitor of c-type lysozyme, putative lipoprotein	mliC // ydhA // b1639 // ECK1635	EG11488						periplasmic side of cell outer membrane // cell outer membrane	protein binding // lysozyme inhibitor activity	mliC
dnaX	b0470	492092	494023	ECK0464	DNA polymerase III subunit gamma // DNA polymerase III subunit tau	dnaX // dnaZ // b0470 // ECK0464	EG10245					viral translational frameshifting // DNA biosynthetic process // DNA-templated DNA replication // DNA replication	replisome // DNA polymerase III, clamp loader complex // cytosol // DNA polymerase III complex	DNA polymerase processivity factor activity // ribonucleoside triphosphate phosphatase activity // metal ion binding // DNA clamp loader activity // ATP hydrolysis activity // identical protein binding // protein binding // DNA binding // ATP binding // DNA-directed DNA polymerase activity	dnaX
alsE	b4085	4307783	4308478	ECK4078	D-allulose-6-phosphate 3-epimerase	alsE // yjcU // b4085 // ECK4078	EG11957					pentose-phosphate shunt, non-oxidative branch // carbohydrate metabolic process // D-allose catabolic process	cytosol	D-ribulose-phosphate 3-epimerase activity // isomerase activity // metal ion binding // allulose 6-phosphate 3-epimerase activity	alsBACE // alsRBACE // alsRBACE
mlaE	b3194	3338466	3339248	ECK3183	intermembrane phospholipid transport system, integral membrane subunit MlaE	mlaE // yrbE // b3194 // ECK3183	EG12800					phospholipid transport // intermembrane phospholipid transfer	phospholipid-translocating ATPase complex // ATP-binding cassette (ABC) transporter complex // membrane // plasma membrane	phospholipid transporter activity // protein binding // phospholipid transfer activity	mlaFEDCB // mlaFEDCB // mlaFEDCB
dcrB	b3472	3609955	3610512	ECK3456	periplasmic bacteriophage sensitivity protein DcrB	dcrB // yhhR // b3472 // ECK3456	G7767						plasma membrane // periplasmic space		dcrB
nudB	b1865	1948180	1948632	ECK1866	dihydroneopterin triphosphate diphosphatase	nudB // yebD // ntpA // b1865 // ECK1866	EG11138					tetrahydrofolate biosynthetic process // folic acid biosynthetic process	cytosol	hydrolase activity // metal ion binding // magnesium ion binding // dATP diphosphatase activity // dihydroneopterin triphosphate pyrophosphohydrolase activity	nudB-yebC-ruvC
ymfE	b1138	1197533	1198237	ECK1124	e14 prophage; uncharacterized protein YmfE	ymfE // b1138 // ECK1124	G6583						plasma membrane		ymfED
yieL	b3719	3899408	3900577	ECK3712	putative hydrolase YieL	yieL // b3719 // ECK3712	EG11729					carbohydrate metabolic process		acyltransferase activity, transferring groups other than amino-acyl groups // hydrolase activity, hydrolyzing O-glycosyl compounds	bglH-yieLK
ompR	b3405	3535865	3536584	ECK3392	OmpR-Phosphorylated // DNA-binding transcriptional dual regulator OmpR	ompR // cry // kmt // ompB // b3405 // ECK3392	EG10672	narV // narW // narY // narZ // narU // znuA // queE // feoC // feoA // feoB // tsgA // tolC // sstT // rob // rhtA // pdhR // ompX // gmhA // fadE // acrR // ompC // omrB // omrA // dtpA // csgG // csgF // csgE // csgD // micF // ompF	b1465 // b1466 // b1467 // b1468 // b1469 // b1857 // b2777 // b3410 // b3408 // b3409 // b3364 // b3035 // b3089 // b4396 // b0813 // b0113 // b0814 // b0222 // b0221 // b0464 // b2215 // b4445 // b4444 // b1634 // b1037 // b1038 // b1039 // b1040 // b4439 // b0929	cadC // cadA // cadB // speFL // potE // speF // exoX // yobB // copA // malE // alx // galP // nuoN // htpX // csgI // lpp // pgaD // pgaC // pgaB // pgaA // ecnB // ompF // sra // flhC // flhD // nmpC // bolA // fadL	b4133 // b4131 // b4132 // b4803 // b0692 // b0693 // b1844 // b1843 // b0484 // b4034 // b3088 // b2943 // b2276 // b1829 // b0964 // b1677 // b1021 // b1022 // b1023 // b1024 // b4411 // b0929 // b1480 // b1891 // b1892 // b0553 // b0435 // b2344	positive regulation of DNA-templated transcription // regulation of DNA-templated transcription // phosphorelay signal transduction system	cytosol // protein-DNA complex // cytoplasm	protein binding // transcription cis-regulatory region binding // DNA binding // phosphorelay response regulator activity	ompR-envZ // ompR-envZ // ompR-envZ // ompR-envZ
pbpG	b2134	2223938	2224870	ECK2127	peptidoglycan DD-endopeptidase PbpG	pbpG // yohB // b2134 // ECK2127	EG12015					proteolysis // regulation of cell shape // peptidoglycan biosynthetic process // FtsZ-dependent cytokinesis // peptidoglycan metabolic process // cell wall organization // response to xenobiotic stimulus	periplasmic space // outer membrane-bounded periplasmic space	peptidase activity // hydrolase activity // serine-type D-Ala-D-Ala carboxypeptidase activity // protein binding // endopeptidase activity	pbpG
folD	b0529	556875	557741	ECK0522	bifunctional methylenetetrahydrofolate dehydrogenase / methenyltetrahydrofolate cyclohydrolase	folD // ads // b0529 // ECK0522	EG10328					tetrahydrofolate interconversion // methionine biosynthetic process // one-carbon metabolic process // purine nucleotide biosynthetic process // L-histidine biosynthetic process	cytosol	protein homodimerization activity // hydrolase activity // oxidoreductase activity // methylenetetrahydrofolate dehydrogenase (NADP+) activity // methenyltetrahydrofolate cyclohydrolase activity	folD-ybcJ
nfsA	b0851	891184	891906	ECK0842	NADPH-dependent nitro/quinone reductase NfsA	nfsA // mda18 // mdaA // ybjB // b0851 // ECK0842	EG11261						cytosol	NAD(P)H dehydrogenase (quinone) activity // protein binding // oxidoreductase activity // chromate reductase activity // protein homodimerization activity // FMN binding	ybjC-nfsA-rimK-ybjN
rep	b3778	3960677	3962698	ECK3770	ATP-dependent DNA helicase Rep	rep // dasC // mbrA // mmrA // b3778 // ECK3770	EG10837					replication fork processing // DNA replication, synthesis of primer // recombinational repair // DNA replication // response to radiation // bacterial-type DNA replication // DNA unwinding involved in DNA replication	primosome complex // DnaB-DnaC-Rep-PriC complex // cytoplasmic replisome // cytosol	isomerase activity // ATP hydrolysis activity // 3'-5' DNA helicase activity // single-stranded DNA binding // hydrolase activity // helicase activity // ATP binding // DNA binding // protein homodimerization activity // protein binding // DNA helicase activity	rep
focA	b0904	953609	954466	ECK0895	formate channel FocA	focA // ycaE // b0904 // ECK0895	EG11258					transmembrane transport // mixed acid fermentation // response to acidic pH // formate transport	membrane // plasma membrane	identical protein binding // protein binding // formate transmembrane transporter activity	focA-pflB // focA-pflB // focA-pflB
lgoT	b4356	4593361	4594722	ECK4346	galactonate:H+ symporter	lgoT // yjiZ // yjjL // b4356 // ECK4346	EG12587					transmembrane transport // aldonate transmembrane transport	membrane // plasma membrane	transmembrane transporter activity	lgoT
yhcG	b3220	3367827	3368954	ECK3209	DUF1016 domain-containing protein YhcG	yhcG // b3220 // ECK3209	G7674						cytosol	nucleic acid binding // nuclease activity // DNA binding	yhcG
folB	b3058	3204221	3204589	ECK3048	dihydroneopterin aldolase	folB // ygiG // b3058 // ECK3048	EG11673					folic acid-containing compound metabolic process // tetrahydrofolate biosynthetic process // folic acid biosynthetic process	cytoplasm // cytosol	isomerase activity // lyase activity // identical protein binding // dihydroneopterin aldolase activity	folB
ybcN	b0547	572466	572921	ECK0538	DLP12 prophage; DNA base-flipping protein	ybcN // b0547 // ECK0538	G6303					mismatch repair	cytosol	protein binding // single-stranded DNA binding // bubble DNA binding	ybcN-ninE-ybcO-rusA-ylcG
uhpA	b3669	3850136	3850726	ECK3660	UhpA-Phosphorylated // DNA-binding transcriptional activator UhpA	uhpA // b3669 // ECK3660	EG11051	uhpU // uhpT	b4829 // b3666			phosphorelay signal transduction system // regulation of DNA-templated transcription	cytoplasm // cytosol	DNA binding	ivbL-ilvBN-uhpABC // uhpABC
argP	b2916	3059753	3060646	ECK2912	DNA-binding transcriptional dual regulator ArgP	argP // iciA // b2916 // ECK2912	EG10490	asd // dapD // lysA // lysC // gdhA // lysP // dapB // recF // dnaN // dnaA // yfaE // nrdA // nrdB // argO	b3433 // b0166 // b2838 // b4024 // b1761 // b2156 // b0031 // b3700 // b3701 // b3702 // b2236 // b2234 // b2235 // b2923	argP	b2916	regulation of DNA-templated transcription // positive regulation of DNA-templated transcription // negative regulation of DNA-templated transcription // negative regulation of DNA-templated DNA replication initiation	cytosol // cytoplasm	DNA binding // bent DNA binding // sequence-specific DNA binding // DNA-binding transcription factor activity	argP
mepA	b2328	2445560	2446384	ECK2322	peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase	mepA // b2328 // ECK2322	EG10580					proteolysis // peptidoglycan metabolic process // response to xenobiotic stimulus // peptidoglycan biosynthetic process	periplasmic space // outer membrane-bounded periplasmic space	metalloendopeptidase activity // serine-type endopeptidase activity // metal ion binding // metallopeptidase activity // endopeptidase activity // peptidase activity	prmB-aroC-mepA-yfcA-epmC-yfcL
folK	b0142	157253	157732	ECK0141	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK // b0142 // ECK0141	EG11374					phosphorylation // folic acid-containing compound biosynthetic process // tetrahydrofolate biosynthetic process // folic acid biosynthetic process	cytosol	ATP binding // kinase activity // magnesium ion binding // 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	pcnB-folK // pcnB-folk // pcnB-folK // pcnB-folK // pcnB-folK
ygeA	b2840	2979943	2980635	ECK2838	amino acid racemase YgeA	ygeA // b2840 // ECK2838	EG11157						cytosol	protein binding // isomerase activity // amino-acid racemase activity	araE-ygeA // ygeA
dnaN	b3701	3881221	3882321	ECK3693	&beta; sliding clamp	dnaN // b3701 // ECK3693	EG10242					regulation of DNA-templated DNA replication initiation // negative regulation of DNA-templated DNA replication initiation // DNA-templated DNA replication // DNA replication // DNA damage response // bacterial-type DNA replication // error-prone translesion synthesis // DNA strand elongation involved in DNA replication	replication inhibiting complex // Hda-beta clamp complex // replisome // cytoplasm // DNA polymerase III complex // cytosol	3'-5' exonuclease activity // identical protein binding // DNA-directed DNA polymerase activity // protein homodimerization activity // DNA binding // protein binding	dnaN-recF // dnaN-recF // dnaN-recF // dnaN-recF // dnaN-recF // dnaN-recF // dnaN-recF // dnaAN-recF // dnaAN-recF
ptsH	b2415	2533764	2534021	ECK2410	phosphocarrier HPr-<i>N</i><sup>&pi;</sup>-phospho-L-histidine // phosphocarrier protein HPr	ptsH // ctr // hpr // b2415 // ECK2410	EG10788					peptidyl-histidine phosphorylation // regulation of carbon utilization // phosphoenolpyruvate-dependent sugar phosphotransferase system // positive regulation of glycogen catabolic process	cytoplasm // cytosol	enzyme activator activity // enzyme regulator activity // phosphotransferase activity, nitrogenous group as acceptor // antisigma factor binding // enzyme inhibitor activity // protein binding	ptsHI-crr // ptsHI-crr // ptsHI-crr // ptsHI-crr // ptsHI-crr // ptsHI-crr
mdtK	b1663	1743457	1744830	ECK1659	multidrug efflux pump MdtK	mdtK // norE // norM // ydhE // b1663 // ECK1659	EG12400					xenobiotic transmembrane transport // peptide transport // protein transport // transmembrane transport // sodium ion transport // xenobiotic detoxification by transmembrane export across the plasma membrane // dipeptide transmembrane transport // cellular response to reactive oxygen species // response to antibiotic	membrane // plasma membrane	antiporter activity // xenobiotic transmembrane transporter activity // dipeptide transmembrane transporter activity	mdtK
yghS	b2985	3133244	3133957	ECK2979	putative ATP-binding protein YghS	yghS // b2985 // ECK2979	G7551						cytosol	ATP binding	yghSR
pabA	b3360	3490266	3490829	ECK3348	aminodeoxychorismate synthase subunit 2	pabA // b3360 // ECK3348	EG10682					aromatic amino acid family biosynthetic process // amino acid biosynthetic process // para-aminobenzoic acid biosynthetic process // tryptophan biosynthetic process // tetrahydrofolate biosynthetic process // glutamine metabolic process // folic acid biosynthetic process	aminodeoxychorismate synthase complex // cytosol	anthranilate synthase activity // protein heterodimerization activity // transferase activity // 4-amino-4-deoxychorismate synthase activity	yhfG-fic-pabA // pabA
insH1	b0259	274101	275081	ECK0261	CP4-6 prophage; IS<i>5</i> transposase and trans-activator	insH1 // trs5 // trs5-1 // yi52_1 // b0259 // ECK0261	G6134					transposition // DNA transposition // DNA recombination	cytosol	transposase activity // DNA binding	insH-1
